tilaaja_taso_0	tilaaja_taso_1	tilaaja_taso_2	tilaaja_taso_3	VSSHP_boolean	custorg0	custorg1	custorg2	custorg3
TYKS	TYKS-TA5-Medisiininen	T-klf,isotooppi-&PET-tutkimuk.	T-pet/annostelu	1	TYKS        	TYKST5      	XKLIP       	XKL18T      
TYKS	TYKS-TA5-Medisiininen	T-klf,isotooppi-&PET-tutkimuk.	T-klf/rasitustutkimukset	1	TYKS	TYKST5	XKLIP	XKL4T
TYKS	TYKS-TA5-Medisiininen	T-klf,isotooppi-&PET-tutkimuk.	T-kliininen fysiologia,isotoop	1	TYKS        	TYKST5      	XKLIP       	XKLIP       
TYKS	TYKS-TA6-Oper.toim. ja syöpät.	T-korvaklinikka	T-sipilän vastaanotto	1	TYKS        	TYKST6      	XKOR        	XKO10L      
TYKS	TYKS-TA6-Oper.toim. ja syöpät.	T-korvaklinikka	T-kuulok lääkäri 01	1	TYKS        	TYKST6      	XKOR        	XKO11L      
TYKS	TYKS-TA6-Oper.toim. ja syöpät.	T-korvaklinikka	T-kuulok lääkäri 02	1	TYKS        	TYKST6      	XKOR        	XKO12L      
TYKS	TYKS-TA6-Oper.toim. ja syöpät.	T-korvaklinikka	T-kuulok lääkäri 03	1	TYKS        	TYKST6      	XKOR        	XKO13L      
TYKS	TYKS-TA6-Oper.toim. ja syöpät.	T-korvaklinikka	T-kuulok erikoistuvalääkäri	1	TYKS        	TYKST6      	XKOR        	XKO16L      
TYKS	TYKS-TA6-Oper.toim. ja syöpät.	T-korvaklinikka	T-päiki 555P/28	1	TYKS        	TYKST6      	XKOR        	XKO18L      
TYKS	TYKS-TA6-Oper.toim. ja syöpät.	T-korvaklinikka	T-päiväkirurgiset potilaat	1	TYKS	TYKST6	XKOR	XKO1C
TYKS	TYKS-TA6-Oper.toim. ja syöpät.	T-korvaklinikka	T-polikliininen käynti	1	TYKS        	TYKST6      	XKOR        	XKO1L       
TYKS	TYKS-TA6-Oper.toim. ja syöpät.	T-korvaklinikka	T-opetusvastaanotto (XKO1O )	1	TYKS        	TYKST6      	XKOR        	XKO1O       
TYKS	TYKS-TA6-Oper.toim. ja syöpät.	T-korvaklinikka	T-korvaosasto	1	TYKS        	TYKST6      	XKOR        	XKO1V       
TYKS	TYKS-TA6-Oper.toim. ja syöpät.	T-korvaklinikka	T-schreyn vastaanotto	1	TYKS        	TYKST6      	XKOR        	XKO20L      
TYKS	TYKS-TA6-Oper.toim. ja syöpät.	T-korvaklinikka	T-foniatri 3	1	TYKS	TYKST6	XKOR	XKO21L
TYKS	TYKS-TA6-Oper.toim. ja syöpät.	T-korvaklinikka	T-huone 1 (XKO2L )	1	TYKS        	TYKST6      	XKOR        	XKO2L       
TYKS	TYKS-TA6-Oper.toim. ja syöpät.	T-korvaklinikka	T-pkl- leikkaussali	1	TYKS        	TYKST6      	XKOR        	XKO3C       
TYKS	TYKS-TA6-Oper.toim. ja syöpät.	T-korvaklinikka	T-pkl. erikoislääkäri	1	TYKS        	TYKST6      	XKOR        	XKO3L       
TYKS	TYKS-TA6-Oper.toim. ja syöpät.	T-korvaklinikka	T-patti-pkl	1	TYKS        	TYKST6      	XKOR        	XKO4C       
TYKS	TYKS-TA6-Oper.toim. ja syöpät.	T-korvaklinikka	T-sairaanhoitaja	1	TYKS	TYKST6	XKOR	XKO4H
TYKS	TYKS-TA6-Oper.toim. ja syöpät.	T-korvaklinikka	T-erikoistuvat lääkärit (XKO4L )	1	TYKS        	TYKST6      	XKOR        	XKO4L       
TYKS	TYKS-TA6-Oper.toim. ja syöpät.	T-korvaklinikka	T-rfta-potilaat	1	TYKS	TYKST6	XKOR	XKO5C
TYKS	TYKS-TA6-Oper.toim. ja syöpät.	T-korvaklinikka	T-erikoistuvat lääkärit (XKO5L )	1	TYKS        	TYKST6      	XKOR        	XKO5L       
TYKS	TYKS-TA6-Oper.toim. ja syöpät.	T-korvaklinikka	T-päiki 555P	1	TYKS        	TYKST6      	XKOR        	XKO6C       
TYKS	TYKS-TA6-Oper.toim. ja syöpät.	T-korvaklinikka	T-foniatri	1	TYKS        	TYKST6      	XKOR        	XKO6L       
TYKS	TYKS-TA6-Oper.toim. ja syöpät.	T-korvaklinikka	T-kuulontutkija 7	1	TYKS	TYKST6	XKOR	XKO7E
TYKS	TYKS-TA6-Oper.toim. ja syöpät.	T-korvaklinikka	T-foniatrinen hoitaja	1	TYKS	TYKST6	XKOR	XKO7H
TYKS	TYKS-TA6-Oper.toim. ja syöpät.	T-korvaklinikka	T-foniatri 2	1	TYKS        	TYKST6      	XKOR        	XKO7L       
TYKS	TYKS-TA6-Oper.toim. ja syöpät.	T-korvaklinikka	T-erikoislääkärien vo	1	TYKS	TYKST6	XKOR	XKO8L
TYKS	TYKS-TA6-Oper.toim. ja syöpät.	T-korvaklinikka	T-rinologinen pkl (XKO9L )	1	TYKS        	TYKST6      	XKOR        	XKO9L       
TYKS	TYKS-TA6-Oper.toim. ja syöpät.	L-korvaklinikka	XKOL1C-loimaa päiväkirurgia	1	TYKS	TYKST6	XKORLO	XKOL1C
TYKS	TYKS-TA6-Oper.toim. ja syöpät.	L-korvaklinikka	XKOL1L-loimaa lääkärin vo	1	TYKS	TYKST6	XKORLO	XKOL1L
TYKS	TYKS-TA6-Oper.toim. ja syöpät.	T-korvaklinikka	T-korvaklinikka	1	TYKS        	TYKST6      	XKOR        	XKOR        
TYKS	TYKS-TA6-Oper.toim. ja syöpät.	S-korvaklinikka	XKOS1C-korvapäikipotilaat	1	TYKS	TYKST6	XKORSA	XKOS1C
TYKS	TYKS-TA6-Oper.toim. ja syöpät.	S-korvaklinikka	XKOS1H-korvahoitajan vastaanot	1	TYKS	TYKST6	XKORSA	XKOS1H
TYKS	TYKS-TA6-Oper.toim. ja syöpät.	S-korvaklinikka	XKOS1L-korvalääkärin vastaanot	1	TYKS	TYKST6	XKORSA	XKOS1L
TYKS	TYKS-TA6-Oper.toim. ja syöpät.	S-korvaklinikka	XKOS2H-korvahoitajan vastaanot	1	TYKS	TYKST6	XKORSA	XKOS2H
TYKS	TYKS-TA6-Oper.toim. ja syöpät.	S-korvaklinikka	XKOS2L-korvalääkärin vastaanot	1	TYKS	TYKST6	XKORSA	XKOS2L
TYKS	TYKS-TA6-Oper.toim. ja syöpät.	S-korvaklinikka	XKOS3L-korvalääkärin vastaanot	1	TYKS	TYKST6	XKORSA	XKOS3L
TYKS	TYKS-TA6-Oper.toim. ja syöpät.	V-korvaklinikka	XKOV1C-korvalääkäri päiki	1	TYKS	TYKST6	XKORVA	XKOV1C
TYKS	TYKS-TA6-Oper.toim. ja syöpät.	V-korvaklinikka	XKOV1L-vkor erikoislääkäri 1	1	TYKS	TYKST6	XKORVA	XKOV1L
TYKS	TYKS-PA2-TOTEK	T-kirurgisen sairaalan toimenp	T-kirurgisen sairaalan toimenp	1	TYKS        	TYKSP2      	XKTOTE      	XKTOTE      
TYKS	TYKS-TA4-Neuro	T-kuntoutus&aivovammapot.hoito	T-kuntoutus ja aivovammapotila	1	TYKS        	TYKST4      	XKV         	XKV         
TYKS	TYKS-TA4-Neuro	T-kuntoutus&aivovammapot.hoito	T-vaativa kuntoutusedellytyste	1	TYKS        	TYKST4      	XKV         	XKV1E       
TYKS	TYKS-TA4-Neuro	T-kuntoutus&aivovammapot.hoito	T-kuntoutusosasto Paimio	1	TYKS        	TYKST4      	XKV         	XKV1V       
TYKS	TYKS-TA4-Neuro	T-kuntoutus&aivovammapot.hoito	T-osastopkl fys	1	TYKS        	TYKST4      	XKV         	XKV2L       
TYKS	TYKS-TA4-Neuro	T-kuntoutus&aivovammapot.hoito	T-syvpkl lyhyt lääkäri	1	TYKS	TYKST4	XKV	XKV3L
TYKS	TYKS-TA4-Neuro	T-kuntoutus&aivovammapot.hoito	T-ylilääkärin kuntoutus vo	1	TYKS        	TYKST4      	XKV         	XKV4L       
TYKS	TYKS-TA4-Neuro	T-kuntoutus&aivovammapot.hoito	T-kuntoutustutkimustyöryhmä	1	TYKS        	TYKST4      	XKV         	XKV4T       
TYKS	TYKS-TA4-Neuro	T-kuntoutus&aivovammapot.hoito	T-moniammat kunpkl lääkäri	1	TYKS	TYKST4	XKV	XKV5L
TYKS	TYKS-TA4-Neuro	T-kuntoutus&aivovammapot.hoito	T-moniammat kunpkl eval	1	TYKS        	TYKST4      	XKV         	XKV6L       
TYKS	TYKS-TA4-Neuro	T-kuntoutus&aivovammapot.hoito	T-aivovammapkl ylilääkäri	1	TYKS        	TYKST4      	XKV         	XKV7L       
TYKS	TYKS-TA4-Neuro	T-kuntoutus&aivovammapot.hoito	T-aivovammapkl erikoistuva	1	TYKS        	TYKST4      	XKV         	XKV8L       
TYKS	TYKS-TA4-Neuro	T-kuntoutus&aivovammapot.hoito	T-aivovammapkl lääkäri	1	TYKS	TYKST4	XKV	XKV9L
TYKS	TYKS-TA8-Lasten ja nuorten kl	T-last&nuort veri-&syöpäs.hoit	T-osastonäyttäjät (XLH1L )	1	TYKS        	TYKST8      	XLHEM       	XLH1L       
TYKS	TYKS-TA8-Lasten ja nuorten kl	T-last&nuort veri-&syöpäs.hoit	T-omaistutkimukset (XLH1R )	1	TYKS        	TYKST8      	XLHEM       	XLH1R       
TYKS	TYKS-TA8-Lasten ja nuorten kl	T-last&nuort veri-&syöpäs.hoit	T-lasten ja nuorten hem.os	1	TYKS        	TYKST8      	XLHEM       	XLH1V       
TYKS	TYKS-TA8-Lasten ja nuorten kl	T-last&nuort veri-&syöpäs.hoit	T-hematologian vo (XLH2L )	1	TYKS        	TYKST8      	XLHEM       	XLH2L       
TYKS	TYKS-TA8-Lasten ja nuorten kl	T-last&nuort veri-&syöpäs.hoit	T-lasten ja nuorten veri- ja s	1	TYKS        	TYKST8      	XLHEM       	XLHEM       
TYKS	TYKS-TA8-Lasten ja nuorten kl	T-lasten ja nuorten kirurgia	T-ortopedinen vo (XLN10L)	1	TYKS        	TYKST8      	XLNKIR      	XLN10L      
TYKS	TYKS-TA8-Lasten ja nuorten kl	T-lasten ja nuorten kirurgia	T-kampurapotilaat	1	TYKS	TYKST8	XLNKIR	XLN11L
TYKS	TYKS-TA8-Lasten ja nuorten kl	T-lasten ja nuorten kirurgia	T-lasten kirurginen pkl	1	TYKS        	TYKST8      	XLNKIR      	XLN12L      
TYKS	TYKS-TA8-Lasten ja nuorten kl	T-lasten ja nuorten kirurgia	T-ortopedinen vo (XLN13L)	1	TYKS        	TYKST8      	XLNKIR      	XLN13L      
TYKS	TYKS-TA8-Lasten ja nuorten kl	T-lasten ja nuorten kirurgia	T-ortopedinen vo (XLN15L)	1	TYKS        	TYKST8      	XLNKIR      	XLN15L      
TYKS	TYKS-TA8-Lasten ja nuorten kl	T-lasten ja nuorten kirurgia	T-ortopedinen vo (XLN16L)	1	TYKS	TYKST8	XLNKIR	XLN16L
TYKS	TYKS-TA8-Lasten ja nuorten kl	T-lasten ja nuorten kirurgia	T-päiväkirurgia (XLN1C )	1	TYKS        	TYKST8      	XLNKIR      	XLN1C       
TYKS	TYKS-TA8-Lasten ja nuorten kl	T-lasten ja nuorten kirurgia	T-osastonäyttäjät (XLN1L )	1	TYKS	TYKST8	XLNKIR	XLN1L
TYKS	TYKS-TA8-Lasten ja nuorten kl	T-lasten ja nuorten kirurgia	T-lasten ja nuorten kir.os	1	TYKS        	TYKST8      	XLNKIR      	XLN1V       
TYKS	TYKS-TA8-Lasten ja nuorten kl	T-lasten ja nuorten kirurgia	T-ortopedinen vo (eves)	1	TYKS	TYKST8	XLNKIR	XLN20L
TYKS	TYKS-TA8-Lasten ja nuorten kl	T-lasten ja nuorten kirurgia	T-urologinen vo	1	TYKS        	TYKST8      	XLNKIR      	XLN2L       
TYKS	TYKS-TA8-Lasten ja nuorten kl	T-lasten ja nuorten kirurgia	T-urol.tutk.	1	TYKS        	TYKST8      	XLNKIR      	XLN3C       
TYKS	TYKS-TA8-Lasten ja nuorten kl	T-lasten ja nuorten kirurgia	T-uro/gastrovo (XLN3L )	1	TYKS        	TYKST8      	XLNKIR      	XLN3L       
TYKS	TYKS-TA8-Lasten ja nuorten kl	T-lasten ja nuorten kirurgia	T-hoitajavastaanotto	1	TYKS	TYKST8	XLNKIR	XLN4H
TYKS	TYKS-TA8-Lasten ja nuorten kl	T-lasten ja nuorten kirurgia	T-uro/gastrovo (XLN4L )	1	TYKS	TYKST8	XLNKIR	XLN4L
TYKS	TYKS-TA8-Lasten ja nuorten kl	T-lasten ja nuorten kirurgia	T-päiväkirurgia (XLN5C )	1	TYKS	TYKST8	XLNKIR	XLN5C
TYKS	TYKS-TA8-Lasten ja nuorten kl	T-lasten ja nuorten kirurgia	T-urol. eval.	1	TYKS        	TYKST8      	XLNKIR      	XLN6L       
TYKS	TYKS-TA8-Lasten ja nuorten kl	T-lasten ja nuorten kirurgia	T-urolog.+kastelu	1	TYKS        	TYKST8      	XLNKIR      	XLN7L       
TYKS	TYKS-TA8-Lasten ja nuorten kl	T-lasten ja nuorten kirurgia	T-lasten leikkaussali	1	TYKS	TYKST8	XLNKIR	XLN9M
TYKS	TYKS-TA8-Lasten ja nuorten kl	T-lasten ja nuorten kirurgia	T-lasten ja nuorten kirurgia	1	TYKS        	TYKST8      	XLNKIR      	XLNKIR      
TYKS	TYKS-TA8-Lasten ja nuorten kl	T-lasten neurologia	T-hoitajan vo (XLS1H )	1	TYKS        	TYKST8      	XLSNEU      	XLS1H       
TYKS	TYKS-TA8-Lasten ja nuorten kl	T-lasten neurologia	T-evalin vo (XLS1L )	1	TYKS        	TYKST8      	XLSNEU      	XLS1L       
TYKS	TYKS-TA8-Lasten ja nuorten kl	T-lasten neurologia	T-opetuspkl (XLS1O )	1	TYKS	TYKST8	XLSNEU	XLS1O
TYKS	TYKS-TA8-Lasten ja nuorten kl	T-lasten neurologia	T-omaistutkimukset (XLS1R )	1	TYKS        	TYKST8      	XLSNEU      	XLS1R       
TYKS	TYKS-TA8-Lasten ja nuorten kl	T-lasten neurologia	T-hoidonvaraus (XLS1V )	1	TYKS        	TYKST8      	XLSNEU      	XLS1V       
TYKS	TYKS-TA8-Lasten ja nuorten kl	T-lasten neurologia	T-erikoislääkärin vo (XLS2L )	1	TYKS        	TYKST8      	XLSNEU      	XLS2L       
TYKS	TYKS-TA8-Lasten ja nuorten kl	T-lasten neurologia	T-jalkautuva tr/el	1	TYKS        	TYKST8      	XLSNEU      	XLS3L       
TYKS	TYKS-TA8-Lasten ja nuorten kl	T-lasten neurologia	T-evalin vo (XLS4L )	1	TYKS        	TYKST8      	XLSNEU      	XLS4L       
TYKS	TYKS-TA8-Lasten ja nuorten kl	T-lasten neurologia	T-erikoislääkärin vo (XLS5L )	1	TYKS        	TYKST8      	XLSNEU      	XLS5L       
TYKS	TYKS-TA8-Lasten ja nuorten kl	T-lasten neurologia	T-kun-pkl	1	TYKS        	TYKST8      	XLSNEU      	XLS6L       
TYKS	TYKS-TA8-Lasten ja nuorten kl	T-lasten neurologia	T-päiväsairaala (XLS7L )	1	TYKS        	TYKST8      	XLSNEU      	XLS7L       
TYKS	TYKS-TA8-Lasten ja nuorten kl	T-lasten neurologia	T-erikoislääkärin vo (XLS8L )	1	TYKS        	TYKST8      	XLSNEU      	XLS8L       
TYKS	TYKS-TA8-Lasten ja nuorten kl	T-lasten neurologia	T-lasten neurologia	1	TYKS        	TYKST8      	XLSNEU      	XLSNEU      
TYKS	TYKS-TA8-Lasten ja nuorten kl	S-lasten neurologia	XLSS1L-salo, lastenneurologi	1	TYKS	TYKST8	XLSNES	XLSS1L
TYKS	TYKS-TA8-Lasten ja nuorten kl	T-lasten tehohoito	T-omaiskäynnit	1	TYKS	TYKST8	XLTEHO	XLT1R
TYKS	TYKS-TA8-Lasten ja nuorten kl	T-lasten tehohoito	T-lasten ja nuorten teho-osast	1	TYKS	TYKST8	XLTEHO	XLT1V
TYKS	TYKS-TA8-Lasten ja nuorten kl	T-lasten tehohoito	T-lasten teho-osasto	1	TYKS        	TYKST8      	XLTEHO      	XLTEHO      
TYKS	TYKS-TA5-Medisiininen	T-nefrologia ja dialyysihoidot	T-päiväsairaala (XMU10T)	1	TYKS	TYKST5	XMUN	XMU10T
TYKS	TYKS-TA5-Medisiininen	T-nefrologia ja dialyysihoidot	T-kontrollipotilas	1	TYKS        	TYKST5      	XMUN        	XMU1L       
TYKS	TYKS-TA5-Medisiininen	T-nefrologia ja dialyysihoidot	T-khd-potilaiden koulutus ja k	1	TYKS        	TYKST5      	XMUN        	XMU1T       
TYKS	TYKS-TA5-Medisiininen	T-nefrologia ja dialyysihoidot	T-sisätautiosasto 2 (XMU1V )	1	TYKS        	TYKST5      	XMUN        	XMU1V       
TYKS	TYKS-TA5-Medisiininen	T-nefrologia ja dialyysihoidot	T-esim. transplantaatiopotilai	1	TYKS	TYKST5	XMUN	XMU2H
TYKS	TYKS-TA5-Medisiininen	T-nefrologia ja dialyysihoidot	T-yleisnefrologinen pkl	1	TYKS        	TYKST5      	XMUN        	XMU2L       
TYKS	TYKS-TA5-Medisiininen	T-nefrologia ja dialyysihoidot	T-hd-hoidot, parempikuntoiset	1	TYKS        	TYKST5      	XMUN        	XMU2T       
TYKS	TYKS-TA5-Medisiininen	T-nefrologia ja dialyysihoidot	T-munuaisbiopsiat	1	TYKS        	TYKST5      	XMUN        	XMU2V       
TYKS	TYKS-TA5-Medisiininen	T-nefrologia ja dialyysihoidot	T-pd-potilaiden lääkärikontrol	1	TYKS        	TYKST5      	XMUN        	XMU3L       
TYKS	TYKS-TA5-Medisiininen	T-nefrologia ja dialyysihoidot	T-tukihoitona vaikeissa tapauk	1	TYKS        	TYKST5      	XMUN        	XMU3V       
TYKS	TYKS-TA5-Medisiininen	T-nefrologia ja dialyysihoidot	T-hoitajan antama informaatio	1	TYKS	TYKST5	XMUN	XMU4H
TYKS	TYKS-TA5-Medisiininen	T-nefrologia ja dialyysihoidot	T-nefrologin pitämä pkl, vaike	1	TYKS        	TYKST5      	XMUN        	XMU4L       
TYKS	TYKS-TA5-Medisiininen	T-nefrologia ja dialyysihoidot	T-hd-hoidot, akuutit ja vaikea	1	TYKS        	TYKST5      	XMUN        	XMU5L       
TYKS	TYKS-TA5-Medisiininen	T-nefrologia ja dialyysihoidot	T-sairaalahemodialyysi	1	TYKS	TYKST5	XMUN	XMU5T
TYKS	TYKS-TA5-Medisiininen	T-nefrologia ja dialyysihoidot	T-veriteiden nopeat kontrollit	1	TYKS	TYKST5	XMUN	XMU6L
TYKS	TYKS-TA5-Medisiininen	T-nefrologia ja dialyysihoidot	T-akuutti dialyysi	1	TYKS	TYKST5	XMUN	XMU7T
TYKS	TYKS-TA5-Medisiininen	T-nefrologia ja dialyysihoidot	T-eristyshemodialyysi	1	TYKS	TYKST5	XMUN	XMU8T
TYKS	TYKS-TA5-Medisiininen	T-nefrologia ja dialyysihoidot	T-khd/kotipotilaan omahoito	1	TYKS	TYKST5	XMUN	XMU9T
TYKS	TYKS-TA5-Medisiininen	L-nefrologia ja dialyysihoidot	XMUL1L-loimaa erikoislääkärin	1	TYKS	TYKST5	XMUNLO	XMUL1L
TYKS	TYKS-TA5-Medisiininen	L-nefrologia ja dialyysihoidot	XMUL1T-loimaa dialyysipkl	1	TYKS	TYKST5	XMUNLO	XMUL1T
TYKS	TYKS-TA5-Medisiininen	L-nefrologia ja dialyysihoidot	XMUL2T-loimaa eristysdialyysi	1	TYKS	TYKST5	XMUNLO	XMUL2T
TYKS	TYKS-TA5-Medisiininen	T-nefrologia ja dialyysihoidot	T-nefrologia ja dialyysihoidot	1	TYKS        	TYKST5      	XMUN        	XMUN        
TYKS	TYKS-TA5-Medisiininen	S-nefrologia ja dialyysihoidot	XMUS1L-nefrologin vastaanotto,	1	TYKS	TYKST5	XMUNSA	XMUS1L
TYKS	TYKS-TA5-Medisiininen	S-nefrologia ja dialyysihoidot	XMUS1T-hemodialyysi	1	TYKS	TYKST5	XMUNSA	XMUS1T
TYKS	TYKS-TA5-Medisiininen	S-nefrologia ja dialyysihoidot	XMUS2L-nefrologin vastaanotto,	1	TYKS	TYKST5	XMUNSA	XMUS2L
TYKS	TYKS-TA5-Medisiininen	V-nefrologia ja dialyysihoidot	XMUV1T-vdial lääkäri	1	TYKS	TYKST5	XMUNVA	XMUV1T
TYKS	TYKS-TA4-Neuro	T-yleisneurologia	T-botuliini vo	1	TYKS        	TYKST4      	XNEU        	XNE10L      
TYKS	TYKS-TA4-Neuro	T-yleisneurologia	T-erikoistuvan lääkärin v (XNE12L)	1	TYKS        	TYKST4      	XNEU        	XNE12L      
TYKS	TYKS-TA4-Neuro	T-yleisneurologia	T-erikoislääkärin vo (XNE13L)	1	TYKS        	TYKST4      	XNEU        	XNE13L      
TYKS	TYKS-TA4-Neuro	T-yleisneurologia	T-opetuspotilaat	1	TYKS        	TYKST4      	XNEU        	XNE14L      
TYKS	TYKS-TA4-Neuro	T-yleisneurologia	T-sissi vo	1	TYKS	TYKST4	XNEU	XNE18L
TYKS	TYKS-TA4-Neuro	T-yleisneurologia	T-muistihoitajan vo	1	TYKS	TYKST4	XNEU	XNE1H
TYKS	TYKS-TA4-Neuro	T-yleisneurologia	T-osaston jälkipoliklinikka	1	TYKS	TYKST4	XNEU	XNE1L
TYKS	TYKS-TA4-Neuro	T-yleisneurologia	T-tiedevastaanotto (XNE1S )	1	TYKS        	TYKST4      	XNEU        	XNE1S       
TYKS	TYKS-TA4-Neuro	T-yleisneurologia	T-infuusio vo	1	TYKS        	TYKST4      	XNEU        	XNE1T       
TYKS	TYKS-TA4-Neuro	T-yleisneurologia	T-neurologian osasto	1	TYKS        	TYKST4      	XNEU        	XNE1V       
TYKS	TYKS-TA4-Neuro	T-yleisneurologia	T-hallinnollisen apulaisylilää	1	TYKS        	TYKST4      	XNEU        	XNE2L       
TYKS	TYKS-TA4-Neuro	T-yleisneurologia	T-kliinisen opettajan vo	1	TYKS        	TYKST4      	XNEU        	XNE3L       
TYKS	TYKS-TA4-Neuro	T-yleisneurologia	T-erikoislääkärin vo - muistih	1	TYKS        	TYKST4      	XNEU        	XNE4L       
TYKS	TYKS-TA4-Neuro	T-yleisneurologia	T-erikoislääkärin vo (XNE5L )	1	TYKS        	TYKST4      	XNEU        	XNE5L       
TYKS	TYKS-TA4-Neuro	T-yleisneurologia	T-erikoislääkärin vo (XNE6L )	1	TYKS        	TYKST4      	XNEU        	XNE6L       
TYKS	TYKS-TA4-Neuro	T-yleisneurologia	T-erikoistuvan lääkärin v (XNE7L )	1	TYKS        	TYKST4      	XNEU        	XNE7L       
TYKS	TYKS-TA4-Neuro	T-yleisneurologia	T-professorin vo (XNE8L )	1	TYKS        	TYKST4      	XNEU        	XNE8L       
TYKS	TYKS-TA4-Neuro	T-yleisneurologia	T-erikoislääkärin vo (XNE9L )	1	TYKS        	TYKST4      	XNEU        	XNE9L       
TYKS	TYKS-TA4-Neuro	L-yleisneurologia	XNEL1L-loimaa erikoislääkärin	1	TYKS	TYKST4	XNEULO	XNEL1L
TYKS	TYKS-TA4-Neuro	L-yleisneurologia	XNEL2L-loimaa erikoislääkärin	1	TYKS	TYKST4	XNEULO	XNEL2L
TYKS	TYKS-TA4-Neuro	L-yleisneurologia	XNEL3L-loimaa erikoislääkärin	1	TYKS	TYKST4	XNEULO	XNEL3L
TYKS	TYKS-TA4-Neuro	L-yleisneurologia	XNEL4L-loimaa erikoislääkärin	1	TYKS	TYKST4	XNEULO	XNEL4L
TYKS	TYKS-TA4-Neuro	S-yleisneurologia	XNES1H-neurologisen hoitajan v	1	TYKS	TYKST4	XNEUSA	XNES1H
TYKS	TYKS-TA4-Neuro	S-yleisneurologia	XNES1L-neurologin vastaanotto,	1	TYKS	TYKST4	XNEUSA	XNES1L
TYKS	TYKS-TA4-Neuro	S-yleisneurologia	XNES1T-nes1t	1	TYKS	TYKST4	XNEUSA	XNES1T
TYKS	TYKS-TA4-Neuro	S-yleisneurologia	XNES2L-neurologin vastaanotto,	1	TYKS	TYKST4	XNEUSA	XNES2L
TYKS	TYKS-TA4-Neuro	S-yleisneurologia	XNES3L-neurologin vastaanotto,	1	TYKS	TYKST4	XNEUSA	XNES3L
TYKS	TYKS-TA4-Neuro	S-yleisneurologia	XNES4L-neurologin vastaanotto,	1	TYKS	TYKST4	XNEUSA	XNES4L
TYKS	TYKS-TA4-Neuro	T-yleisneurologia	T-yleisneurologia	1	TYKS        	TYKST4      	XNEU        	XNEU        
TYKS	TYKS-TA4-Neuro	V-yleisneurologia	XNEV1L-vneu erikoislääkäri 1	1	TYKS	TYKST4	XNEUVA	XNEV1L
TYKS	TYKS-TA4-Neuro	V-yleisneurologia	XNEV2L-vneu erikoislääkäri 2	1	TYKS	TYKST4	XNEUVA	XNEV2L
TYKS	TYKS-TA4-Neuro	T-neurokirurgisen potilaan hoi	T-pkl el posti	1	TYKS        	TYKST4      	XNKIR       	XNK10L      
TYKS	TYKS-TA4-Neuro	T-neurokirurgisen potilaan hoi	T-pkl yl rinne	1	TYKS	TYKST4	XNKIR	XNK11L
TYKS	TYKS-TA4-Neuro	T-neurokirurgisen potilaan hoi	T-pkl eval	1	TYKS	TYKST4	XNKIR	XNK12L
TYKS	TYKS-TA4-Neuro	T-neurokirurgisen potilaan hoi	T-pkl eval 2	1	TYKS	TYKST4	XNKIR	XNK13L
TYKS	TYKS-TA4-Neuro	T-neurokirurgisen potilaan hoi	T-pkl el kuhmonen	1	TYKS	TYKST4	XNKIR	XNK14L
TYKS	TYKS-TA4-Neuro	T-neurokirurgisen potilaan hoi	T-pkl eval 3	1	TYKS	TYKST4	XNKIR	XNK15L
TYKS	TYKS-TA4-Neuro	T-neurokirurgisen potilaan hoi	T-pkl el areda	1	TYKS	TYKST4	XNKIR	XNK16L
TYKS	TYKS-TA4-Neuro	T-neurokirurgisen potilaan hoi	T-neurokirurgian osasto	1	TYKS        	TYKST4      	XNKIR       	XNK1V       
TYKS	TYKS-TA4-Neuro	T-neurokirurgisen potilaan hoi	T-pkl yl kotilainen	1	TYKS        	TYKST4      	XNKIR       	XNK2L       
TYKS	TYKS-TA4-Neuro	T-neurokirurgisen potilaan hoi	T-tutkimuspkl 2	1	TYKS        	TYKST4      	XNKIR       	XNK2S       
TYKS	TYKS-TA4-Neuro	T-neurokirurgisen potilaan hoi	T-pkl el vuorinen	1	TYKS        	TYKST4      	XNKIR       	XNK3L       
TYKS	TYKS-TA4-Neuro	T-neurokirurgisen potilaan hoi	T-neuro-onkologinen meeting	1	TYKS        	TYKST4      	XNKIR       	XNK3M       
TYKS	TYKS-TA4-Neuro	T-neurokirurgisen potilaan hoi	T-pkl el puntala	1	TYKS        	TYKST4      	XNKIR       	XNK4L       
TYKS	TYKS-TA4-Neuro	T-neurokirurgisen potilaan hoi	T-pkl el rahi	1	TYKS        	TYKST4      	XNKIR       	XNK5L       
TYKS	TYKS-TA4-Neuro	T-neurokirurgisen potilaan hoi	T-pkl el kotkansalo	1	TYKS        	TYKST4      	XNKIR       	XNK6L       
TYKS	TYKS-TA4-Neuro	T-neurokirurgisen potilaan hoi	T-pkl el frantzen	1	TYKS        	TYKST4      	XNKIR       	XNK7L       
TYKS	TYKS-TA4-Neuro	T-neurokirurgisen potilaan hoi	T-pkl el jokinen	1	TYKS        	TYKST4      	XNKIR       	XNK8L       
TYKS	TYKS-TA4-Neuro	T-neurokirurgisen potilaan hoi	T-pkl eval sankinen	1	TYKS        	TYKST4      	XNKIR       	XNK9L       
TYKS	TYKS-TA4-Neuro	T-neurokirurgisen potilaan hoi	T-neurokirurgisen potilaan hoi	1	TYKS        	TYKST4      	XNKIR       	XNKIR       
